id	field_years	location	title	year	authors	publisher
454	1931-1936	" Mescalero Indian Reservation, New Mexico, United States"	Apache odyssey: a journey between two worlds	1969	"Opler, Morris Edward"	"New York: Holt, Rinehart and Winston, 1969. 18, 301 p.: ill."
455	1930	"Surprise Valley Paiute, northeasterrn California, United States"	Ethnography of the Surprise Valley Paiute	1934	"Kelly, Isabel Truesdell"	" Berkeley, Calif.: University of California Press, 1934. 67-210 p., plates 17-32"
456	ca. 1948-1954	"Honey Lake (Wadatkuht)Paiute, Lassen County, northeastern California, United States"	Honey Lake Paiute ethnography	1960	"Riddell, Francis A."	"Carson City, Nevada: Nevada State Museum, 1960. vi, 92 p., 5 plates"
457	1936-1938	"Harney Valley Paiute, Burns, Oregon, United States"	Paiute sorcery	1950	"Whiting, Beatrice Blyth"	"New York: The Viking Fund Inc., 1950. 110 p.: map."
458	1931-1935	"Southern Arizona, United States"	Social organization of the Papago Indians:	1939	"Underhill, Ruth Murray"	"New York: Columbia University Press, 1939. xii, 280 p"
459	1936-1937	"Uintah and Ouray Indian Reservation, Utah, United States"	Ethnography of the Northern Utes	1974	"Smith, Anne M."	"Santa Fe: Museum of New Mexico Press, 1974. 6, 6, 288 p., 30 plates: ill., map"
460	1928-1957	"Zia, New Mexico, United States"	"The pueblo of Sia, New Mexico"	1962	"White, Leslie A."	"Washington: U.S. Govt. Print. Off., 1962. xii, 358 p.: ill., map"
461	ca. 1928	"Zuni Pueblo, New Mexico, United States"	Introduction to ZuÌ±i ceremonialism	1932	"Bunzel, Ruth Leah"	"47th Annual report of the Bureau of American Ethnology Washington: U. S. Government Printing Office,"
462	1879-1888	"Zuni Pueblo, New Mexico, United States"	ZuÌ±i breadstuff	1920	"Hamilton, Frank Cushing"	"New York: Museum of the American Indian, Heye Foundation, 1920. 673 p., 28 plates"
463	1540-2000	southwestern United States	Culture summary: Zuni	2009	"Frisbie, Theodore R. "	"New Haven, Conn.: Human Relations Area Files, 2009.: online document"
464	1895-1971	"Zuni Pueblo, New Mexico, United States"	Zuni religion and world views	1979	"Tedlock, Dennis"	"Southwest, Vol. 9 edited by Alfonso Ortiz Washington: Smithsonian Institution : For sale by the Supt"
465	"1984-1986, 1990-1991"	Burundi and Tanzania	"Purity and exile: violence, memory, and national cosmology among Hutu refugees in Tanzania"	1995	"Malkki, Liisa H."	"Chicago: University of Chicago Press, 1995"
466	1911	Burundi	The Barundi: an ethnological study of German East Africa	1916	"Handzik, Helmut; Meyer, Hans"	"Leipzig: Ott Spamer, 1916"
467	ca. 1930	Zaire	Marriage among the Nkundu	1938	"Hulstaert, Gustave E.; Vizedom, Monika B."	"Bruxelles: Librairie Falk fils, Georges Van Campenhout, Successeur, 1938"
468	1907-1909	Rwanda	"Investigations in the area between the Nile and the Congo: First volume: ethnography, the interlacustrine region of Mporo and Ruanda"	1917	"Czekanowski, Jan"	" Leipzig: Klinkhardt & Biermann, 1917."
469	1950-1951	Rwanda	The kingdom of Ruanda	1954	"Maquet, Jacques Jerome Pierre"	"African worlds; studies in the cosmological ideas and social values of African peoples, edited by Da"
470	1949....1957	Rwanda	The premise of inequality in Ruanda:: a study of political relations in a central African kingdom	1961	"Maquet, Jacques Jerome Pierre"	"London: Oxford University Press for the International African Institute, 1961"
471	"1970-1971, 1972, 1974"	Rwanda	"The cohesion of oppression: clientship and ethnicity in Rwanda, 1860-1960"	1988	"Newbury, Catherine"	"New York: Columbia University Press, 1988"
472	ca. 1925	 Rwanda	A Hamitic kingdom in the center of Africa: in Ruanda on the shores of Lake Kivu (Belgian Congo)	1933	"Pages, G.; Scholl, Bernard"	"Bruxelles: Libraire Falk fils, Georges van Campenhout, Successeur, 1933"
473	1919-1920	Rwanda	The Bagesu and other tribes of the Uganda Protectorate: the third part of the report of the Mackie ethnological expedition to central Africa	1924	"Roscoe, John"	"Cambridge [Eng.]: Cabridge University Press, 1924"
474	1962-1965	"Njombe District, Iringa Region, Tanzania"	 Bases for political compliance in Bena villages	1966	"Swartz, Marc J."	"Political anthropology, edited by M. J. Swartz, V.W. Turner, and A. Tuden Chicago: Aldine Pub. Co., "
475	ca. 1918	"Chagga, Tanzania"	"Kilimanjaro and its people: a history of the Wachagga, their laws, customs and legends, together with some account of the highest mountain in Africa"	1924	"Dundas, Sir Charles"	"London: H. F. & G. Witherby, 1924."
476	1906-1926	"Chagga, Tanzania"	Chagga law	1926	"Gutmann, Bruno "	"Munchen: C. H. Beck, 1926."
477	1968-1984	"Chagga country, Kilimanjaro, Tanzania"	"Social facts and fabrications: 'customary' law on Kilimanjaro, 1880-1980"	1986	"Moore, Sally Falk"	"Cambridge [Cambridgeshire] ; New York: Cambridge University Press, 1986."
478	1900-1940	"Chagga, Tanzania"	Chaga childhood: a description of indigenous education in an East African tribe	1940	"Raum, Otto Friedrich"	"London: Oxford University Press for the International Institute of African Languages and Cultures, 1"
479	1910-1953	Kenya	"The central tribes of the north-eastern Bantu: (The Kikuyu, including Embu, Meru, Mbere, Chuka, Mwimbi, Tharaka, and the Kamba of Kenya)"	1953	"Middleton, JohnLondon: International African Institute, 1953"	
480	1905-1907	Kenya	"With a prehistoric people: the Akikuyu of British East Africa, being some account of the method of life and mode of thought found existent amongst a nation on its first contact with European civilisation"	1910	"Routledge, W. Scoresby; Routledge, Scoresby, Mrs."	"London: Edward Arnold, 1910."
481	ca. 1950	"Luoland, Kenya"	Homicide and suicide among the Joluo of Kenya	1960	"Wilson, Gordon M."	"African homicide and and suicide, edited by Paul Bohannan Princeton: Princeton University Press, 196"
482	1954-1955	Kenya	Luo customary law and marriage laws customs	1961	"Wilson, Gordon M."	"[Nairobi: Govt. Printer], 1961. "
483	1936	"Luoland, Kenya"	Ghostly vengeance among the Luo of Kenya	1950	"Evans Pritchard, Edward Evan"	"Man -- Vol. 50, article 133 London: [London, Royal Anthropological Institute of Great Britain and Ir"
484	1968-1988	"Luoland, Kenya"	"Women as owners, occupants, and managers of property in colonial western Kenya"	1982	"Hay, Margaret Jean"	"African women & the law : historical perspectives, edited by Margaret Jean Hay and Marcia Wright [Bo"
485	1980-1983	"Luoland, Kenya"	Bitter money: cultural economy and some African meanings of forbidden commodities	1989	"Shipton, Parker MacDonald"	"Washington, D.C.: American Anthropological Association, 1989"
486	1934-1938	"Nyakyusa and Ngonde, Tanzania and Malawi"	"For men and elders: change in the relations of generations and of men and women among the Nyakyusa-Ngonde people, 1875-1971"	1977	"Wilson, Monica Hunter"	"New York: Africana Pub. Co. for the International African Institute, 1977"
487	1934-1938	"Nyakyusa, Tanzania"	Rituals of kinship among the Nyakyusa	1957	"Wilson, Monica Hunter"	"London: Oxford University Press for the International African Institute, 1957"
488	1948-1949	"around Lake Turkana, Kenya"	A preliminary survey of the Turkana: a report compiled for the government of Kenya	1951	"Gulliver, Pamela"	"[Rondebosch, Cape Town]: University of Cape Town, 1951"
489	 1948-1950	"vicinity of Lake Turkana (Lake Rudolf), Kenya"	The Turkana	1953	"Gulliver, Pamela"	"London: International African Institute, 1953"
490	1959-1963	"Huambo, Angola"	The kingdom of Wambu (Huambo): a tentative chronology	1964	"Childs, Gladwyn Murray"	"Journal of African history -- Vol. 3 [London, New York]: Cambridge University Press, 1964."
491	1926-27	 Madagascar	The Tanala: a hill tribe of Madagascar	1933	"Linton, Ralph"	"Chicago: [s.n.], 1933."
492	1895-1909	South Africa	The life of a South African tribe: vol. 1	1927	"Junod, Henri Alexandre"	"London: Macmillan and Co., Limited, 1927."
493	1895-1909	South africa	The life of a South African tribe: vol. 2	1927	"Junod, Henri Alexandre"	"London: Macmillan and Co., Limited, 1927."
494	1914-1915 (4 months)	Liberia	The Kpelle: a negro tribe in Liberia	1921	"SchÌ_tze, Frieda; Westermann, Diedrich H."	"GÌ_ ttingen ; Leipsig: Vandenhoeck & Ruprecht ; J. C. Hinrichs'sche Buchhandlung, 1921."
495	1980-1990	Sierra Leone	The politics of polygyny in Mende education and child fosterage transactions	1993	"Bledsoe, Caroline H."	"Sex and gender hierarchies, edited by Barbara Diane Miller Cambridge, [England] ; New York: Cambridg"
496	ca. 1910	Burkina Faso	Essay on the manners and customs of the Mossi people in the western Sudan	1921	"Brunel, Ariane; Mangin, EugÌ¬ne; Skinner, Elliott"	"Paris: Augustin Challamel, 1921."
497	1955-1957	Burkina Faso	The Mossi of the Upper Volta	1964	"Skinner, Elliott"	"Stanford, California: Stanford University Press, 1964"
498	1934-1937; 1971	"Tongo village, Ghana"	"Religion, morality, and the person: essays on Tallensi religion"	1987	"Fortes, Meyer; Goody, Jack"	"Cambridge [Cambridgeshire] ; New York: Cambridge University Press, 1987"
499	1934-1937 ; 1945	"Tongo village, Ghana"	The web of kinship among the Tallensi: the second part of an analysis of the social structure of a Trans-Volta tribe	1949	"Fortes, Meyer"	"London: Oxford University Press for the International African Institute, 1949."
500	1906-1920	Nigeria	The laws and customs of the Yoruba people	1924	"Ajisafe, Ajayi Kolawole"	"London: George Routledge & Sons, Ltd., 1924"
501	"1937-1938, 1950-1951, 1960 and 1965"	Nigeria	The Yoruba of Southwestern Nigeria	1969	"Bascom, William Russell"	"New York: Holt, Rinehart and Winston, [1969]."
502	1937-1938	Nigeria	The sociological role of the Yoruba cult-group	1944	"Bascom, William Russell"	"American anthropologist -- Vol. 46, no. 1, part 2 Menasha: American Anthropological Association, 194"
503	1949-1959	Nigeria	The Yoruba of Nigeria	1965	"Lloyd, Peter Cutt"	 The fear that one's rival is endeavoring to harm one is widespread among the Yoruba. Yet they are n
504	ca. 1936	Nigeria	Native administration in Nigeria	1937	"Dame, Freda; Perham, Margery"	"London: Oxford University Press, 1937"
505	1961-1962	Nigeria	Indigenous Yoruba psychiatry	1964	"Prince, Raymond H."	"Magic, faith and healing, edited by Ari Kiev New York: The Free Press of Glencoe, 1964."
506	1981-1987	"Huhhot, Inner Mongolia Autonomous Region, China"	"Sex, death, and hierarchy in a Chinese city: an anthropological account"	1993	"Jankowiak, William R."	"New York: Columbia University Press, 1993."
507	1986-1991	"Inner Mongolia Autonomous Region, China"	Changing Inner Mongolia: pastoral Mongolian society and the Chinese state	2000	"Sneath, David"	"Oxford: Oxford University Press, 2000"
508	1910-1957	Mongolia	Mongolian People's Republic (Outer Mongolia)	1956	"Far Eastern and Russian Institute , of the University of Washington"	"New Haven, Conn.: Printed by the Human Relations Area Files, 1956. 3 vols. "
509	1200-1950	"China, Mongolia, and Russia"	Kinship systems of the Altaic-speaking peoples of the Asiatic steppe	2006	"Krader, Lawrence"	"New Haven, Conn.: HRAF"
510	1904-1921	Tibet	The people of Tibet	1928	"Bell, Sir Charles Alfred"	"Oxford, England: Clarendon Press"
511	1907-1921	Tibet	The religion of Tibet	1931	"Bell, Sir Charles Alfred"	"Oxford, England: Clarendon Press"
512	1986-1990	"Phala, Tibet"	Change and continuity in nomadic pastoralism on the western Tibetan plateau	1991	"Beall, Cynthia M.; Goldstein, Melvin C."	Nomadic peoples -- vol. 28 New York: Berghahn Books
513	1944-1949	Tibet	Tibet and the Tibetans	1953	"Liu, ShÌ»n-chi; ShÌ»n, Tsung-lien; Taylor, George E."	"Stanford, Calif.: Stanford University Press"
514	1877-1924	Japan	Ainu life and lore: echoes of a departing race	1927	"Batchelor, John"	Tokyo: Kyobunkwan
515	1900-1942	"Nibutani, Saru District, Hokkaido, Japan"	Ainu creed and cult	1963	"Munro, Neil Gordon"	New York: Columbia University Press
516	"1965-1966, 1969, 1973"	"Sakhalin island, Japan"	Illness and healing among the Sakhalin Ainu: a symbolic interpretation	1981	"Ohnuki-Tierney, Emiko"	"Cambridge, [Eng.] ; New York: Cambridge University Press"
517	1972	Japan	The Ainu of the northwest coast of southern Sakhalin	1974	"Ohnuki-Tierney, Emiko"	" Prospect Heights, Illinois: Waveland Press, Inc"
518	1400-1960	Japan	The Ainu of northern Japan: a study in conquest and acculturation	1960	"Takakura, Shin ichirÅç"	"Philadelphia, Pa.: American Philosophical Society"
519	1644-1911	China	Manchu widows and ethnicity in Qing China	1999	"Elliot, Mark C."	"Comparative studies in society and history -- Vol. 41, no.1"
520	1905-1956	Northeastern China	The Manchurian family	1956	"Hirabayashi, Joanne ; Tang, Peter S.H."	" A regional handbook of Northeast China, compiled by The Far Eastern and Russian Institute of the Un"
521	1621-1955	Northeastern China	Political dynamics	1956	"Lo, Jung-pang; Tang, Peter S.H."	"A regional handbook of Northeast China, compiled by The Far Eastern and Russian Institute of the Uni"
522	1915-1918	"Aihui District, Heilongjiang Sheng Province; Yili Kazakh Autonomous Prefecture, Xinjiang Uyghur Autonomous Region, China"	Social organization of the Manchus: A study of the Manchu clan organization	1924	"Shirokogoroff, S.M."	"Shanghai, China: Royal Asiatic Society"
523	1921-1936	"Szechuan Province, China"	The customs of the Ch'uan Miao	1937	"Graham, David Crockett"	Shanghai: Thomas Chu and Sons
524	1950-1957	"Community of Niiike, Honshu Island, Okayama Prefecture, Japan"	Village Japan	1972	"Beardsley, Richard K."	Chicago: University of Chicago Press
525	1950-1958	"Matsuzaki-buraku, Yokoi village, Okayama Prefecture, Japan"	Outcaste relations in a Japanese village	1961	"Cornell, John B."	American anthropologist -- Vol. 63
526	1953-1955	"Niiike buraku, Okayama Prefecture, Japan"	Social values and personal attitudes in primary human relations in rural Japan	1973	"De Vos, George A."	Socialization for achievement : essays on the cultural psychology of the Japanese
527	1953-1955	"Niiike-buraku; Sakunoshima, Okayama Prefecture, Japan"	Value attitudes toward role behavior of women in two Japanese villages	1961	"De Vos, George A."	American anthropologist - Vol. 63
528	1952-1953	"Okayama Prefecture, Japan"	The [n]senkyoya[/n] system in rural Japanese communities.	1953	"Dull, Paul S."	"Ann Arbor, Mich.: University of Michigan Press"
529	1950-1974	"Takashima, Okayama Prefecture, Japan"	Changing Japan	1976	"Norbeck, Edward"	"New York: Holt, Rinehart and Winston"
530	1943	"Liang Shan, Sichuan Province, China"	Kinship system of the Lolo	1946	"Lin, Yaohua"	"Harvard journal of Asiatic studies -- Vol. 9, no. 2 [Cambridge, Mass]: Harvard-Yenching Institute"
531	1943	"Liang Shan, Sichuan Province, China"	The Lolo of Liang-shan	1947	"Lin, Yaohua"	"Shanghai, China: The Commercial Press"
532	1888-1915	"Sichuan Province, China"	"In unknown China: a record of the observations, adventures and experiences of a pioneer missionary during a prolonged sojourn amongst the wild and unknown Nosu tribe of western China"	1921	"Pollard, Samuel"	"Philadelphia, Pa.: J.B. Lippincott Company"
533	1941	"Liang-Shan, Sichuan Province, China"	The Lolo district in Liang-Shan	1945	"Tseng, Chao-Iun; Yeu, Josette M."	A selection from an account of investigation trip to Liang-Shan Chungking
534	1850-1950	" lower Amur River and northern Sakhalin Island, Russia"	The Nivkh (Gilyak) of Sakhalin and the Lower Amur	1973	"Black, Lydia"	"Arctic anthropology -- Vol. 10, no. 1 [Madison]: University of Wisconsin Press"
535	1854-1856	"lower Amur River and Sakhalin Island, Russia"	The peoples of the Amur region	1856	"Schrenck, Leopold von"	Reisen und Forschungen im Amur-Lande in den Jahren 1854-1856 -- Vol. 3
536	"1890-1897, 1910"	" lower Amur River and Sakhalin Island, Russia"	"The Gilyak, Orochi, Goldi, Negidal, Ainu: articles and materials"	1933	"Shternberg,  Lev IAkovlevich"	Khabarovsk: Dal'giz
537	1943-1954	"Rajpipla and western Khandesh Regions, Gujarat Area, western India"	The Bhils: a study	1956	"Naik, Thakorlal Bharabhai"	Delhi: Bharatiya Adimjati Sevak Sangh
538	1952-1954	"Ratanmal Area, Panchamahals District, northwest India"	Bhils of Ratanmal: an analysis of the social structure of a western Indian community	1960	"FÌ_rer-Haimendorf, Christoph von; Nath, Y. V. S."	Baroda: Maharaja Sayajirao University
539	1948-1951	"Hunza, Pakistan"	Hunza in the Himalayas: storied Shangri-La undergoes scrutiny	1963	"Clark, John"	"Natural History -- Vol. 72, No. 8"
540	1935-1942	"Bison Horn Maria, Bastar State, India"	Maria murder and suicide	1943	"Elwin, Verrier"	"Bombay: Pub. for Man in India by H. Milford, Oxford University Press"
541	1935-1942	"Muria Gond, Bastar State, India"	The Muria and their ghotul	1947	"Elwin, Verrier"	Bombay: Oxford University Press
542	1951	"Eastern Mandla District, India"	The Gond and Bhumia of eastern Mandla	1960	"Fuchs, Stephen"	" Bombay, New York: Asia Pub. House"
543	1964-1966	"Konku Region, Tamil Nadu, India"	Peasant society in Konku: a study of right and left subcastes in south India	1972	"Beck, Brenda E. F."	Vancouver: University of British Columbia Press
544	1969-1972	"Chingleput District, Thaiyur Panchayat, Tamil Nadu, India"	Pills against poverty: a study of the introduction of western medicine in a Tamil village	1975	"Djurfeldt, Goran"	"Stockholm, Sweden: Studentlitt"
545	na	"Tamil Nadu, India"	On the meaning of sakti to women in Tamil Nadu	1991	"Egnor, Margaret Trawick"	"The powers of Tamil women, edited by Susan S. Wadley Syracuse, NY: Maxwell School of Citizenship and"
546	1970-1971	"Village of Pulicat, Chingleput District, Tamil Nadu, India"	Dravidianization: a Tamil revitalization movement	1982	"Jacob-Pandian, Ebenezer Titus"	"Ann Arbor, Mich.: University Microfilms International"
547	"1975-1976, 1979-1988"	"Tamil Nadu, India"	Notes on love in a Tamil family	1990	"Trawick, Margaret"	Berkeley: University of California Press
548	"1939, 1949"	India	A study of polyandry	1963	"Petros, Prince of Greece"	The Hague: Mouton
549	1901-1902	 India	The Todas	1906	"Rivers, W. H. R."	London ; New York: Macmillan
550	"1962-1963, 1965, 1969-1970"	India	The Toda of South India: a new look	1986	"Walker, Anthony R."	Delhi: Hindustan Pub. Corp.
551	ca. 1854	Sri Lanka	"An account of the wild tribes of the Veddahs of Ceylon: their habits, customs, and superstitions"	1863	"Bailey, John"	"Transactions, n.s., - Vol. 2 London: Ethnological Society of London"
552	1968-1970	Sri Lanka	Vedda villages of Anuradhapura: the historical anthropology of a community in Sri Lanka	1978	"Brow, James"	Seattle: University of Washington Press
553	1907-1908	Sri Lanka	The Veddas	1911	"Seligman, C. G."	Cambridge: University Press
554	1931-1939	"Bali, Indonesia"	Bali: Rangda and Barong	1949	"Belo, Jane"	New York: J. J. Augustin
555	1931-1935	"Bali, Indonesia"	Study of Balinese family	1936	"Belo, Jane"	"American anthropologist -- Vol. 38 Washington, etc.: American Anthropological Association, etc.,"
556	1930-1933	"Bali, Indonesia"	Island of Bali	1938	"Covarubias, Miguel"	New York: Alfred A. Knopf
557	ca. 1913-1948	"Bali, Indonesia"	The festival of Jayaprana at Kallingt	1960	"Franken, Hendricus Jacobus"	"Bali: studies in life, thought, and ritual The Hague and Bandung: W. van Hoeve Ltd. for The Royal "
558	1957-1958	"Bali, Indonesia"	Kinship in Bali	1975	"Geertz, Hildred; Geertz, Clifford"	Chicago: University of Chicago Press
559	1961-1972	"Yeigyi village, Upper Burma (central and northern Burma)"	Kinship and marriage in Burma: a cultural and psychodynamic analysis	1977	"Spiro, Melford E."	Berkeley: University of California Press
560	1959-1960	Cambodia	Khmer	1964	"Ebihara, May"	"Ethnic groups of mainland Southeast Asia [by] Frank M. LeBar, Gerald C. Hickey [and] John K. Musgrav"
561	1834-1931	Cambodia	The Cambodian	1952	"Monod, Guillaume-Henri"	New Haven: Human Relations Area Files
562	1100-1938	Cambodia	Traditions and customs of the Khmer	1952	"Poree, Guy"	New Haven: Human Relations Area Files
563	1952-1954	" Mojokerto, East Java Province, Indonesia"	The religion of Java	1960	"Geertz, Clifford"	"Glencoe, Ill.: Free Press"
564	"1958-1959, 1970"	"Java, Indonesia"	Javanese culture	1985	"Koentjaraningrat, none"	Singapore ; New York: Oxford University Press
565	1959-1969	"Ban Hong village, Lamphun province, Northern region"	Pwo Karen: at the edge of mountain and plain	1976	"Hamilton, James W."	St. Paul: West Pub. Co
566	ca. 1910-1918	"Karen people, Burma"	The Karen people of Burma: a study in anthropology and ethnology	1922	"Marshall, Harry Ignatius"	Columbus: The University of Ohio Press
567	1980-1982	"Sgaw Karen people, Palokhi, northern Thailand"	Remaining Karen: a study of cultural reproduction and the maintenance of identity	2008	"Rajah, Ananda"	"Acton, A.C.T.: ANU E Press"
568	1900-1920	Malaysia	Life and customs: the incidents of Malay life	1920	"Wilkinson, Richard James"	Singapore: Kelly and Walsh
569	1900-1950	Malaysia	The Malays: a cultural history	1950	"Winstedt, Richard"	New York: The Philosophical Library
570	1961-1992	"Perak State, Malaysia"	"Overwhelming terror: love, fear, peace, and violence among Semai of Malaysia"	2008	"Dentan, Robert Knox"	"Lanham, Md.: Rowman & Littlefield Publishers"
571	1961-1963	"Perak State and Pahang State, Malaysia"	Some Senoi Semai dietary restrictions: a study of food behavior in a Malay hill tribe	1988	"Dentan, Robert Knox"	"Ann Arbor, Mich.: University Microfilms International"
572	1930-1980	"Perak State and Pahang State, Malaysia"	The Senoi and their dream theory	1985	"Domhoff, G. William"	The mistique of dreams: a search for Utopia through Senoi dream theory Berkeley: University of Calif
573	1988	"Satak Area, Pahang, Malaysia"	Semai Senoi population structure and genetic microdifferentation	1988	"Fix, Alan G."	"Ann Arbor, Mich.: University Microfilms International"
574	1982-1984	"Lengap village, Batang Padang District, Perak State, Malaysia"	Looking for money: capitalism and modernity in an Orang Asli village	2004	"Gomes, Alberto G."	"Melbourne, Vic.: Center for Orang Asli Concerns: Trans Pacific Press"
575	"1949-1950, 1966-1973"	"Tana Toraja region, South Celebes (Sulawesi Selatan), Indonesia"	The Sa'dan-Toraja: a study of their social life and religion	1979	"Nooy-Palm, Hetty"	The Hague: Martinus Nijhoff
576	1812	central Vietnam	"Annamite code: laws and regulations of the Kingdom of Annam, Vol. 1"	1865	"Aubaret, Louis Gabriel Galderic; Howard, George P."	Paris: Imprimerie ImpÌ©riale
577	1812	central Vietnam	"Annamite code: laws and regulations of the Kingdom of Annam, Vol. 2"	1865	"Aubaret, Louis Gabriel Galderic; Howard, George P."	Paris: Imprimerie ImpÌ©riale
578	1946-1948	Vietnam	The position of women in Vietnam	1950	"Coughlin, Richard J."	"New Haven, Conn.: Yale University, Southeast Asia Studies"
579	1 A.D.-1890 A.D.	Vietnam	Annamese religions	1907	"Dumoutier, Gustave"	Hanoi: F. -H. Schneider
580	1958-1959;1962-1964	"Khanh Hau, Vietnam"	Village in Vietnam	1964	"Hickey, Gerald Cannon"	New Haven: Yale University Press
581	legendary period (pre - 257 B.C.) - 1900	Vietnam	"Viet-Nam, civilization and culture"	1990	"Durand, Maurice M.; Huard, Pierre"	Paris ; Hanoi: Imprimerie Nationale ; Ecole francaise d'ExtrÌ»me-Orient
582	ca. 1880	southern (NAM BO) Vietnam	Notes on the customs and popular superstitions of the Annamese	1881	"Landes, A. Cooper; Warren, P."	"Excursions et Reconnaissances -- Vol. 3, no. 8 Saigon: Imprimerie du Gouvernment"
583	1987	Vietnam	Historical setting	1989	"Bakhash, Shaul; LePoer, Barbara Leitch"	"Vietnam: a country study ; Federal Research Division, Library of Congress ; edited by Ronald J. Cima"
584	"1987,1988, 1991"	Vietnam	"Revolution in the village: tradition and transformation in North Vietnam, 1925-1988"	1992	"Luong, Hy V."	Honolulu: University of Hawaii Press
585	1864-1876	central Vietnam	The country of Annam: a study of the political and social organisation of the Annamese	1878	"Lopez, Claude A.; Luro, Eliacin"	"Paris: Ernest Leroux, Ìäditeur"
586	939 A.D.- 1975	Vietnam	Vietnam: searching for integration	1982	"Rambo, A. Terry"	"Religions and societies, Asia and the Middle East, edited by Carlo Caldarola Berlin ; New York: Mout"
587	1932-1942	Vietnam	Some statistical data on suicide in Vietnam	1949	"Messner, Charles A.; Smolski, T."	DÌ¢n Viet Nam : le Peuple Vietnamien -- No. 3 Hanoi: Ìäcole FranÌ_aise d'Extreme-Orient
588	none	central (TRUNG BO) Vietnam	The Annamese patriarchal family	1942	"Messner, Charles A.; Tran-van-Trai, none"	Paris: P. Lapagesse
589	1904-1910	central (TRUNG BO) Vietnam	On and off duty in Annam	1910	"Vassal, Gabrielle M."	London: William Heinemann
590	1788-1799	United Kingdom	"Old times: a picture of social life at the end of the eighteenth century, collected and illustrated from the satirical and other sketches of the day...With eighty-eight illustrations"	1885	"Ashton, John"	London: John C. Nimmo
591	eighteenth century (1700-1837)	England	London in the eighteenth century	1902	"Besant, Walter, Sir"	London: A. & C. Black
592	1714-1815	England	The Hanoverians 1714-1815	1943	"Green, Vivian Hubert Howard"	London: Edward Arnold
593	eighteenth century (1700-1799)	England	England and the English in the eighteenth century: chapters in the social history of the times -- Vol. 1	1891	"Sydney, William Connor"	London: Ward & Downey
594	1980	Spain	Popular politics in the Basque region of Spain: a study in political anthropology	1986	"Zirakzadeh, Cyrus Ernesto"	"Ann Arbor, Mich.: University Microfilms International"
595	1979-1981	"Village of Itziar, Province of Guipuzcoa, Spain"	Basque violence: metaphor and sacrament	1988	"Zulaika, Joseba"	Reno: University of Nevada Press
596	Imperial Roman Period (27 B.C.-476 A.D.)	"Rome, Italy"	Daily life in ancient Rome: the people and the city at the height of the empire	1940	"Carcopino, Jerome; Lorimer, E. O.; Rowell, Henry T."	"New Haven, Conn.: Yale University Press"
597	14-192 A.D.	"Rome, Italy"	Roman civilization: Sourcebook II : the empire	1966	"Lewis, Naphtali"	New York: Harper and Row
598	14-192 A.D.	"Rome, Italy"	Roman life in Pliny's time	1897	"Pellisson, Maurice; Wilkinson, Maud"	"Meadville, Pa.: Flood and Vincent, Chatauqua-Century Press"
599	ca. 45-77	"Rome, Italy"	"Natural history in ten volumes: Volume I. Praefatio, Libri I, II"	1967	"Pliny, the Elder; Rackham, Harris"	Cambridge ; London: Harvard University Press ; William Heinemann
600	Imperial Roman Period (27 B.C.-476 A.D.)	"Rome, Italy"	The social and economic history of the Roman Empire	1926	"Rostovtsev, Mikhail Ivanovich"	Oxford: Clarendon Press
601	1900-1920	Northern Albania	"Some tribal origins, laws, and customs of the Balkans"	1928	"Durham, M. E. "	London: George Allen and Unwin
602	1926-1939	Northern Albania	The unwritten law in Albania	1954	"Hasluck, Margaret Masson Hardie; Hutton, J. H."	Cambridge: University Press
603	1954-1955	"Sarakatsani, Zagori District, Epirus, Greece"	"Honour, family and patronage: a study of institutions and moral values in a Greek mountain community"	1964	"Campbell, John Kennedy"	Oxford: Clarendon Press
604	395 A.D.- 1960s	Greece	Modern Greece	1968	"Campbell, John Kennedy"	New York: Praeger
605	1974-1981	Greece	The etymology of excuses: aspects of rhetorical performance in Greece	1982	"Herzfeld, Michael"	"American ethnologist -- Vol. 9, no. 4 [Washington]: American Ethnological Society"
606	1974-1984	"'Glendi', Crete, Greece"	The poetics of manhood: contest and identity in a Cretan mountain village	1985	"Herzfeld, Michael"	"Princeton, N.J.: Princeton University Press"
607	none	Dominican Republic	Culture summary: Dominicans	2003	"Goodman, Kenneth J.; Whiteford, Linda M."	"New Haven, Conn.: HRAF"
608	1937-1955	Haiti	The drum and the hoe: life and lore of the Haitian people	1960	"Courlander, Harold"	Berkeley and Los Angeles: University of California Press
609	1934	Haiti	Life in a Haitian valley	1937	"Herskovits, Melville Jean"	New York: Alfred A. Knopf
610	"1988-1991, 1995-1996"	Haiti	When the hands are many: community organization and social change in rural Haiti	2001	"Smith, Jennie Marcelle"	Ithaca: Cornell University Press
611	1962-1963	"Esperanza (Arecibo), Puerto Rico"	Esperanza: an ethnographic study of a peasant community in Puerto Rico	1977	"Buitrago Ortiz, Carlos"	"Tucson, Ariz.: University of Arizona Press"
612	none	Puerto Rico	Puerto Rico: an essay in the definition of a national culture	1966	"Mintz, Sidney Wilfred"	"Status of Puerto Rico : selected background studies, prepared for the United States "
613	"1948, 1959-1961"	Puerto Rico	Social change and personality in a Puerto Rican agrarian reform community	1973	"Seda Bonilla, Eduardo"	"Evanston, Ill.: Northwestern University Press"
614	1948-1949	Puerto Rico	The people of Puerto Rico: a study in social anthropology	1956	"Steward, Julian Haynes"	Urbana: University of Illinois Press
